work_year,job_title,job_category,salary,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2025,Senior Quantitative Analyst,Quantitative Analysis,195000,United States,Senior,Full-time,In-person,"New York, NY",Large
2025,Data Scientist,Data Science,95000,Singapore,Mid,Full-time,Hybrid,Singapore,Large
2025,Machine Learning Engineer,Machine Learning,167000,United States,Mid,Full-time,Remote,"Portland, OR",Medium
2025,Data Analytics Consultant,Data Analysis,125000,United States,Mid,Contract,Remote,"Dallas, TX",Medium
2025,Deep Learning Engineer,Deep Learning,200000,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025,Data Scientist,Data Science,1800000,India,Mid,Full-time,Remote,Bangalore,Large
2025,Senior Data Scientist,Data Science,215000,United States,Senior,Full-time,In-person,"Boston, MA",Large
2025,Data Science Intern,Data Science,75000,United States,Entry,Full-time,Remote,"San Jose, CA",Large
2025,MLOps Engineer,Machine Learning Operations,155000,United States,Mid,Full-time,Hybrid,"Seattle, WA",Large
2025,Senior Data Analyst,Data Analysis,99000,United States,Senior,Full-time,In-person,"New York, NY",Medium
2025,Data Scientist,Data Science,62000,Spain,Mid,Full-time,Remote,Madrid,Medium
2025,AI Research Scientist,Artificial Intelligence,230000,United States,Senior,Full-time,Hybrid,"Palo Alto, CA",Large
2025,Junior Data Engineer,Data Engineering,95000,United States,Entry,Full-time,Remote,"Charlotte, NC",Medium
2025,Statistical Analyst,Statistics,85000,Canada,Mid,Full-time,In-person,Calgary,Small
2025,Data Visualization Specialist,Data Visualization,110000,United States,Mid,Full-time,Hybrid,"Minneapolis, MN",Medium
2025,Machine Learning Engineer,Machine Learning,75000,United Kingdom,Senior,Full-time,Remote,Edinburgh,Large
2025,Data Science Consultant,Data Science,145000,United States,Mid,Contract,Remote,"Houston, TX",Medium
2025,Senior AI Engineer,Artificial Intelligence,95000,Germany,Senior,Full-time,Hybrid,Frankfurt,Large
2025,Business Data Scientist,Data Science,135000,United States,Mid,Full-time,In-person,"Philadelphia, PA",Large
2025,Data Mining Specialist,Data Mining,95000,Australia,Mid,Full-time,Remote,Melbourne,Medium
2025,Senior Machine Learning Engineer,Machine Learning,205000,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025,Junior Business Analyst,Business Intelligence,72000,United States,Entry,Full-time,Remote,"Tampa, FL",Small
2025,Data Platform Engineer,Data Engineering,165000,United States,Mid,Full-time,In-person,"Austin, TX",Large
2025,Predictive Analytics Specialist,Predictive Analytics,125000,United States,Mid,Full-time,Hybrid,"San Diego, CA",Medium
2025,Data Scientist,Data Science,8500000,Japan,Mid,Full-time,In-person,Tokyo,Large
2025,AI Product Specialist,Artificial Intelligence,160000,United States,Mid,Full-time,Remote,"Boston, MA",Large
2025,Senior Data Architect,Data Architecture,155000,Canada,Senior,Full-time,Hybrid,Ottawa,Large
2025,Data Operations Analyst,Data Operations,88000,United States,Entry,Full-time,Remote,"Raleigh, NC",Medium
2025,Machine Learning Researcher,Machine Learning,185000,United States,Senior,Full-time,In-person,"Stanford, CA",Large
2025,Data Scientist,Data Science,650000,Sweden,Mid,Full-time,Hybrid,Stockholm,Medium
2025,AI Ethics Specialist,AI Ethics,140000,United States,Mid,Full-time,Remote,"Washington, DC",Large
2025,Junior Data Scientist,Data Science,48000,Italy,Entry,Full-time,In-person,Milan,Small
2025,Data Strategy Manager,Data Strategy,195000,United States,Senior,Full-time,Hybrid,"Chicago, IL",Large
2025,Computer Vision Specialist,Computer Vision,175000,United States,Mid,Full-time,Remote,"San Francisco, CA",Large
2025,Data Analyst,Data Analysis,85000,New Zealand,Entry,Full-time,Hybrid,Auckland,Medium
2025,Senior Business Intelligence Developer,Business Intelligence,115000,United States,Senior,Full-time,In-person,"Detroit, MI",Medium
2025,Machine Learning Engineer,Machine Learning,148000,United States,Mid,Contract,Remote,"Salt Lake City, UT",Small
2025,Data Science Lead,Data Science,210000,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025,Analytics Engineer,Analytics,58000,United Kingdom,Mid,Full-time,Remote,Bristol,Medium
2025,Data Scientist,Data Science,180000,Brazil,Mid,Full-time,In-person,SÃ£o Paulo,Large
2025,AI Solutions Architect,Artificial Intelligence,220000,United States,Senior,Full-time,Hybrid,"New York, NY",Large
2025,Junior Analytics Consultant,Analytics,78000,United States,Entry,Part-time,Remote,"Orlando, FL",Small
2025,Data Engineering Lead,Data Engineering,185000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Quantitative Researcher,Quantitative Analysis,175000,United States,Mid,Full-time,Hybrid,"Boston, MA",Large
2025,Data Scientist,Data Science,75000000,South Korea,Mid,Full-time,Remote,Seoul,Medium
2025,Machine Learning Platform Engineer,Machine Learning,170000,United States,Mid,Full-time,In-person,"Austin, TX",Large
2025,Senior Data Consultant,Data Science,125000,Canada,Senior,Contract,Remote,Winnipeg,Medium
2025,Data Product Manager,Product Management,165000,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025,Applied Scientist,Applied Science,190000,United States,Senior,Full-time,Remote,"Seattle, WA",Large
2025,Data Analyst,Data Analysis,850000,Mexico,Entry,Full-time,In-person,Mexico City,Medium
2025,AI Training Specialist,Artificial Intelligence,135000,United States,Mid,Full-time,Hybrid,"Atlanta, GA",Medium
2025,Senior Statistical Modeler,Statistics,155000,United States,Senior,Full-time,Remote,"Minneapolis, MN",Large
2025,Data Infrastructure Engineer,Data Engineering,78000,Netherlands,Mid,Full-time,In-person,Rotterdam,Large
2025,Machine Learning Engineer,Machine Learning,162000,United States,Mid,Full-time,Hybrid,"Denver, CO",Medium
2025,Data Science Director,Data Science,275000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Junior Data Analyst,Data Analysis,450000,South Africa,Entry,Full-time,Remote,Cape Town,Small
2025,AI Research Engineer,Artificial Intelligence,198000,United States,Senior,Full-time,Hybrid,"Boston, MA",Large
2025,Data Governance Specialist,Data Governance,118000,United States,Mid,Full-time,Remote,"Columbus, OH",Medium
2025,Machine Learning Engineer,Machine Learning,850000,Norway,Mid,Full-time,Hybrid,Oslo,Large
2025,Senior Data Scientist,Data Science,188000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Data Quality Analyst,Data Quality,52000,Belgium,Entry,Full-time,Remote,Brussels,Medium
2025,AI Safety Researcher,AI Safety,205000,United States,Senior,Full-time,Hybrid,"Berkeley, CA",Large
2025,Junior Machine Learning Engineer,Machine Learning,108000,United States,Entry,Full-time,Remote,"Pittsburgh, PA",Medium
2025,Data Science Trainer,Data Science,62000,United Kingdom,Mid,Contract,In-person,Cambridge,Small
2025,Bioinformatics Analyst,Bioinformatics,125000,United States,Mid,Full-time,Hybrid,"San Diego, CA",Large
2025,Data Scientist,Data Science,520000,Denmark,Mid,Full-time,Remote,Copenhagen,Medium
2025,Machine Learning Consultant,Machine Learning,165000,United States,Senior,Contract,Remote,"Nashville, TN",Small
2025,Senior Analytics Manager,Analytics,145000,Canada,Senior,Full-time,Hybrid,Edmonton,Large
2025,Data Privacy Officer,Data Privacy,135000,United States,Mid,Full-time,In-person,"Washington, DC",Large
2025,Research Data Scientist,Research,115000,Australia,Senior,Full-time,Remote,Brisbane,Medium
2025,AI Model Validator,AI Validation,145000,United States,Mid,Full-time,Hybrid,"New York, NY",Large
2025,Junior Data Analyst,Data Analysis,180000,Poland,Entry,Full-time,In-person,Warsaw,Medium
2025,Data Science Manager,Data Science,225000,United States,Senior,Full-time,Remote,"Austin, TX",Large
2025,Geospatial Data Analyst,Geospatial Analysis,95000,United States,Mid,Full-time,Hybrid,"Boulder, CO",Medium
2025,Machine Learning Engineer,Machine Learning,420000,Israel,Mid,Full-time,In-person,Tel Aviv,Large
2025,Data Storyteller,Data Communication,105000,United States,Mid,Full-time,Remote,"Portland, OR",Small
2025,Senior Data Engineer,Data Engineering,135000,Switzerland,Senior,Full-time,Hybrid,Geneva,Large
2025,Fraud Detection Analyst,Fraud Detection,92000,United States,Entry,Full-time,In-person,"Phoenix, AZ",Medium
2025,AI Product Owner,Product Management,88000,Germany,Mid,Full-time,Remote,Hamburg,Large
2025,Data Scientist,Data Science,1450000,Czech Republic,Mid,Full-time,Hybrid,Prague,Medium
2025,Machine Learning Operations Engineer,MLOps,158000,United States,Mid,Full-time,In-person,"Seattle, WA",Large
2025,Junior Business Intelligence Analyst,Business Intelligence,68000,Canada,Entry,Part-time,Remote,Halifax,Small
2025,Data Architecture Consultant,Data Architecture,185000,United States,Senior,Contract,Remote,"Dallas, TX",Medium
2025,Computational Biologist,Computational Biology,142000,United States,Mid,Full-time,Hybrid,"Boston, MA",Large
2025,Data Scientist,Data Science,18500000,Hungary,Entry,Full-time,In-person,Budapest,Medium
2025,AI Governance Specialist,AI Governance,155000,United States,Mid,Full-time,Remote,"San Francisco, CA",Large
2025,Senior Quantitative Developer,Quantitative Development,95000,United Kingdom,Senior,Full-time,Hybrid,London,Large
2025,Data Pipeline Engineer,Data Engineering,128000,United States,Mid,Full-time,In-person,"Chicago, IL",Medium
2025,Machine Learning Engineer,Machine Learning,1850000,Thailand,Mid,Full-time,Remote,Bangkok,Large
2025,Customer Analytics Specialist,Customer Analytics,115000,United States,Mid,Full-time,Hybrid,"Atlanta, GA",Medium
2025,Data Science Evangelist,Data Science,138000,United States,Mid,Full-time,Remote,"San Jose, CA",Large
2025,Junior Data Engineer,Data Engineering,45000,Portugal,Entry,Full-time,In-person,Lisbon,Small
2025,AI Research Director,Artificial Intelligence,295000,United States,Senior,Full-time,Hybrid,"Palo Alto, CA",Large
2025,Marketing Data Analyst,Marketing Analytics,82000,United States,Entry,Full-time,Remote,"Milwaukee, WI",Medium
2025,Data Scientist,Data Science,1650000,Taiwan,Mid,Full-time,In-person,Taipei,Large
2025,Machine Learning Platform Architect,Machine Learning,195000,United States,Senior,Full-time,Hybrid,"Austin, TX",Large
2025,Data Compliance Officer,Data Compliance,105000,Canada,Mid,Full-time,Remote,Quebec City,Medium
2025,Sports Analytics Specialist,Sports Analytics,98000,United States,Mid,Full-time,In-person,"New York, NY",Small
2025,Senior AI Consultant,Artificial Intelligence,145000,Australia,Senior,Contract,Remote,Perth,Medium
2025,Data Scientist,Data Science,4200000,Russia,Entry,Full-time,Hybrid,Moscow,Large
2025,Financial Data Analyst,Financial Analytics,108000,United States,Mid,Full-time,In-person,"Charlotte, NC",Large
2025,Machine Learning Engineer,Machine Learning,172000,United States,Mid,Full-time,Remote,"San Francisco, CA",Medium
2025,Data Warehouse Specialist,Data Warehousing,68000,United Kingdom,Mid,Full-time,Hybrid,Glasgow,Medium
2025,AI Ethics Consultant,AI Ethics,148000,United States,Mid,Contract,Remote,"Boston, MA",Small
2025,Data Scientist,Data Science,1250000,Turkey,Entry,Full-time,In-person,Istanbul,Medium
2025,Senior Data Product Manager,Product Management,205000,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025,Healthcare Data Analyst,Healthcare Analytics,89000,United States,Entry,Full-time,Remote,"Indianapolis, IN",Large
2025,Edge AI Engineer,Edge Computing,178000,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025,Data Scientist,Data Science,28500000,Argentina,Entry,Full-time,Remote,Buenos Aires,Medium
2025,Quantum Machine Learning Researcher,Quantum Computing,245000,United States,Senior,Full-time,In-person,"Boston, MA",Large
2025,Data Mesh Architect,Data Architecture,92000,Austria,Senior,Full-time,Hybrid,Vienna,Large
2025,Junior Data Scientist,Data Science,42000000,Chile,Entry,Full-time,Remote,Santiago,Medium
2025,AI Alignment Researcher,AI Safety,215000,United States,Senior,Full-time,Remote,"Berkeley, CA",Large
2025,Data Observability Engineer,Data Engineering,142000,United States,Mid,Full-time,Hybrid,"Denver, CO",Medium
2025,Machine Learning Engineer,Machine Learning,2850000,Philippines,Mid,Full-time,In-person,Manila,Large
2025,Conversational AI Developer,Natural Language Processing,165000,United States,Mid,Full-time,Remote,"Seattle, WA",Large
2025,Data Science Researcher,Research,118000,Switzerland,Mid,Full-time,Hybrid,Basel,Medium
2025,Climate Data Analyst,Environmental Analytics,95000,United States,Entry,Full-time,Remote,"Boulder, CO",Small
2025,Senior MLOps Engineer,Machine Learning Operations,85000,United Kingdom,Senior,Full-time,In-person,London,Large
2025,Data Scientist,Data Science,185000000,Colombia,Mid,Full-time,Hybrid,BogotÃ¡,Medium
2025,Federated Learning Engineer,Federated Learning,188000,United States,Mid,Full-time,Remote,"Austin, TX",Large
2025,Junior Analytics Engineer,Analytics,48000,Ireland,Entry,Full-time,In-person,Dublin,Medium
2025,Data Monetization Specialist,Data Strategy,155000,United States,Mid,Full-time,Hybrid,"New York, NY",Large
2025,Robotics Data Scientist,Robotics,172000,United States,Mid,Full-time,In-person,"Pittsburgh, PA",Large
2025,Data Scientist,Data Science,1250000000,Vietnam,Entry,Full-time,Remote,Ho Chi Minh City,Medium
2025,AI Fairness Engineer,AI Ethics,158000,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025,Senior Data Strategist,Data Strategy,138000,Canada,Senior,Full-time,Remote,Vancouver,Large
2025,Synthetic Data Engineer,Data Engineering,148000,United States,Mid,Full-time,In-person,"Boston, MA",Medium
2025,Machine Learning Engineer,Machine Learning,195000,Malaysia,Mid,Full-time,Hybrid,Kuala Lumpur,Large
2025,Data Lineage Specialist,Data Governance,125000,United States,Mid,Full-time,Remote,"Chicago, IL",Medium
2025,Autonomous Vehicle Data Scientist,Autonomous Systems,195000,United States,Senior,Full-time,Hybrid,"Detroit, MI",Large
2025,Junior Data Analyst,Data Analysis,850000,Egypt,Entry,Full-time,In-person,Cairo,Medium
2025,Graph Data Scientist,Graph Analytics,168000,United States,Mid,Full-time,Remote,"San Jose, CA",Large
2025,Data Science Architect,Data Science,135000,Australia,Senior,Full-time,Hybrid,Adelaide,Medium
2025,Machine Learning Engineer,Machine Learning,785000000,Indonesia,Entry,Full-time,In-person,Jakarta,Large
2025,Causal Inference Scientist,Causal Analysis,185000,United States,Senior,Full-time,Remote,"Stanford, CA",Large
2025,Data Ethics Officer,Data Ethics,78000,Finland,Mid,Full-time,Hybrid,Helsinki,Large
2025,Time Series Analyst,Time Series Analysis,118000,United States,Mid,Full-time,In-person,"Minneapolis, MN",Medium
2025,Senior AI Product Manager,Product Management,485000,Israel,Senior,Full-time,Remote,Haifa,Large
2025,Data Scientist,Data Science,8500000,Pakistan,Entry,Full-time,Hybrid,Karachi,Medium
2025,Reinforcement Learning Engineer,Reinforcement Learning,198000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Junior Data Engineer,Data Engineering,185000,Romania,Entry,Full-time,Remote,Bucharest,Small
2025,Data Catalog Manager,Data Management,135000,United States,Mid,Full-time,Hybrid,"Atlanta, GA",Medium
2025,IoT Data Analyst,IoT Analytics,108000,United States,Mid,Full-time,Remote,"Austin, TX",Medium
2025,Machine Learning Engineer,Machine Learning,95000,Bulgaria,Mid,Full-time,In-person,Sofia,Medium
2025,Explainable AI Specialist,Explainable AI,175000,United States,Mid,Full-time,Hybrid,"Seattle, WA",Large
2025,Data Science Consultant,Data Science,125000,New Zealand,Senior,Contract,Remote,Wellington,Small
2025,Multimodal AI Engineer,Multimodal AI,188000,United States,Mid,Full-time,In-person,"Palo Alto, CA",Large
2025,Senior Data Analyst,Data Analysis,385000,Croatia,Senior,Full-time,Hybrid,Zagreb,Medium
2025,Data Scientist,Data Science,4850000,Sri Lanka,Entry,Full-time,Remote,Colombo,Small
2025,Neural Architecture Search Engineer,Neural Networks,205000,United States,Senior,Full-time,Remote,"Boston, MA",Large
2025,Data Transformation Specialist,Data Engineering,98000,Canada,Mid,Full-time,In-person,Saskatoon,Medium
2025,Recommendation Systems Engineer,Recommendation Systems,165000,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025,Machine Learning Engineer,Machine Learning,1850000,Ukraine,Mid,Full-time,Remote,Kyiv,Medium
2025,Data Science Team Lead,Data Science,215000,United States,Senior,Full-time,In-person,"New York, NY",Large
2025,Junior Business Analyst,Business Intelligence,48000,Lithuania,Entry,Full-time,Hybrid,Vilnius,Small
2025,Anomaly Detection Specialist,Anomaly Detection,145000,United States,Mid,Full-time,Remote,"Chicago, IL",Medium
2025,Neuromorphic Computing Specialist,Neuromorphic Computing,225000,United States,Senior,Full-time,In-person,"San Jose, CA",Large
2025,Data Scientist,Data Science,2850000,Bangladesh,Entry,Full-time,Remote,Dhaka,Medium
2025,Digital Twin Data Engineer,Digital Twin,168000,United States,Mid,Full-time,Hybrid,"Detroit, MI",Large
2025,Blockchain Data Analyst,Blockchain Analytics,68000,Estonia,Mid,Full-time,Remote,Tallinn,Medium
2025,Junior Data Scientist,Data Science,85000,Georgia,Entry,Full-time,In-person,Tbilisi,Small
2025,Swarm Intelligence Researcher,Swarm Intelligence,195000,United States,Senior,Full-time,Hybrid,"Boston, MA",Large
2025,Data Fabric Architect,Data Architecture,185000,United States,Senior,Full-time,Remote,"Austin, TX",Large
2025,Machine Learning Engineer,Machine Learning,12500000,Kazakhstan,Mid,Full-time,In-person,Almaty,Medium
2025,Metaverse Data Scientist,Metaverse Analytics,175000,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025,Data Science Instructor,Education,88000,Canada,Mid,Part-time,Remote,Toronto,Small
2025,Cognitive Computing Engineer,Cognitive Computing,188000,United States,Mid,Full-time,In-person,"Armonk, NY",Large
2025,Senior Data Analyst,Data Analysis,8500000,Iceland,Senior,Full-time,Hybrid,Reykjavik,Medium
2025,Data Scientist,Data Science,3250000,Nepal,Entry,Full-time,Remote,Kathmandu,Small
2025,Homomorphic Encryption Specialist,Privacy Computing,215000,United States,Senior,Full-time,Remote,"Seattle, WA",Large
2025,Junior MLOps Engineer,Machine Learning Operations,52000,Latvia,Entry,Full-time,In-person,Riga,Medium
2025,Spatial Data Scientist,Geospatial Analytics,135000,United States,Mid,Full-time,Hybrid,"Boulder, CO",Medium
2025,AI Chip Design Analyst,Hardware Analytics,195000,United States,Senior,Full-time,In-person,"Santa Clara, CA",Large
2025,Data Scientist,Data Science,58500000,Myanmar,Entry,Full-time,Remote,Yangon,Medium
2025,Quantum Data Analyst,Quantum Computing,165000,United States,Mid,Full-time,Hybrid,"Boston, MA",Large
2025,Data Mesh Engineer,Data Architecture,78000,United Kingdom,Mid,Full-time,Remote,Edinburgh,Large
2025,Augmented Analytics Specialist,Augmented Analytics,148000,United States,Mid,Full-time,In-person,"Chicago, IL",Medium
2025,Machine Learning Engineer,Machine Learning,485000,Armenia,Mid,Full-time,Hybrid,Yerevan,Small
2025,Data Democratization Lead,Data Strategy,175000,United States,Senior,Full-time,Remote,"New York, NY",Large
2025,Biometric Data Scientist,Biometric Analytics,158000,United States,Mid,Full-time,Hybrid,"San Diego, CA",Large
2025,Junior Data Engineer,Data Engineering,1850000,North Macedonia,Entry,Full-time,In-person,Skopje,Small
2025,Tensor Processing Specialist,Deep Learning,185000,United States,Mid,Full-time,Remote,"Mountain View, CA",Large
2025,Data Virtualization Engineer,Data Virtualization,142000,United States,Mid,Full-time,Hybrid,"Dallas, TX",Medium
2025,Machine Learning Engineer,Machine Learning,38500,Jordan,Mid,Full-time,In-person,Amman,Medium
2025,Neuroinformatics Specialist,Neuroinformatics,168000,United States,Mid,Full-time,Remote,"San Francisco, CA",Large
2025,Data Science Evangelist,Data Science,118000,Australia,Mid,Contract,Hybrid,Canberra,Medium
2025,Adversarial ML Engineer,Adversarial ML,178000,United States,Mid,Full-time,In-person,"Boston, MA",Large
2025,Senior Data Architect,Data Architecture,145000,Switzerland,Senior,Full-time,Remote,Bern,Large
2025,Data Scientist,Data Science,185000000,Lebanon,Entry,Full-time,Hybrid,Beirut,Small
2025,Probabilistic Programming Specialist,Probabilistic Programming,195000,United States,Senior,Full-time,Remote,"Stanford, CA",Large
2025,Junior Business Intelligence Developer,Business Intelligence,42000,Slovenia,Entry,Full-time,In-person,Ljubljana,Small
2025,Data Lake Architect,Data Architecture,165000,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025,Affective Computing Researcher,Affective Computing,185000,United States,Senior,Full-time,In-person,"Cambridge, MA",Large
2025,Machine Learning Engineer,Machine Learning,4850000,Albania,Mid,Full-time,Remote,Tirana,Medium
2025,Data Lineage Engineer,Data Governance,135000,United States,Mid,Full-time,Hybrid,"Austin, TX",Medium
2025,Synthetic Biology Data Scientist,Synthetic Biology,175000,United States,Mid,Full-time,Remote,"San Francisco, CA",Large
2025,Junior Data Analyst,Data Analysis,85000,Bosnia and Herzegovina,Entry,Full-time,In-person,Sarajevo,Small
2025,Continual Learning Engineer,Continual Learning,188000,United States,Mid,Full-time,Hybrid,"Seattle, WA",Large
2025,Data Mesh Product Owner,Product Management,88000,United Kingdom,Mid,Full-time,Remote,Manchester,Medium
2025,Machine Learning Engineer,Machine Learning,1250000,Mongolia,Entry,Full-time,In-person,Ulaanbaatar,Small
2025,Causal AI Researcher,Causal AI,205000,United States,Senior,Full-time,Remote,"Berkeley, CA",Large
2025,Data Governance Analyst,Data Governance,92000,Canada,Entry,Full-time,Hybrid,Calgary,Medium
2025,Embodied AI Engineer,Embodied AI,195000,United States,Senior,Full-time,In-person,"Pittsburgh, PA",Large
2025,Senior Data Scientist,Data Science,2850000,Moldova,Senior,Full-time,Remote,Chisinau,Medium
2025,Data Scientist,Data Science,2850000,Afghanistan,Entry,Full-time,Hybrid,Kabul,Small
2025,Automated ML Engineer,AutoML,168000,United States,Mid,Full-time,Remote,"San Jose, CA",Large
2025,Data Quality Engineer,Data Quality,58000,Slovakia,Mid,Full-time,In-person,Bratislava,Medium
2025,Distributed ML Architect,Distributed ML,195000,United States,Senior,Full-time,Hybrid,"Austin, TX",Large
2025,Machine Learning Engineer,Machine Learning,4850000,Serbia,Mid,Full-time,Remote,Belgrade,Medium
2025,Data Science Product Manager,Product Management,185000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Junior Analytics Consultant,Analytics,38000,Malta,Entry,Part-time,Remote,Valletta,Small
2025,Federated Analytics Engineer,Federated Analytics,175000,United States,Mid,Full-time,Hybrid,"Boston, MA",Large
2025,Data Scientist,Data Science,48500,Cyprus,Entry,Full-time,In-person,Nicosia,Small
2025,Multi-Agent Systems Engineer,Multi-Agent Systems,188000,United States,Mid,Full-time,Remote,"Seattle, WA",Large
2025,Senior Data Engineer,Data Engineering,85000,Luxembourg,Senior,Full-time,Hybrid,Luxembourg City,Medium
2025,Evolutionary Computation Specialist,Evolutionary Computing,178000,United States,Mid,Full-time,In-person,"Stanford, CA",Large
2025,Photonic Computing Data Scientist,Photonic Computing,235000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Data Scientist,Data Science,125000,Ethiopia,Entry,Full-time,Remote,Addis Ababa,Medium
2025,DNA Storage Engineer,DNA Computing,205000,United States,Senior,Full-time,Hybrid,"Boston, MA",Large
2025,Holographic Data Analyst,Holographic Computing,95000,Netherlands,Mid,Full-time,Remote,Eindhoven,Large
2025,Junior Data Scientist,Data Science,185000,Ghana,Entry,Full-time,In-person,Accra,Small
2025,Molecular ML Engineer,Molecular Computing,195000,United States,Mid,Full-time,Hybrid,"Cambridge, MA",Large
2025,Data Mesh Evangelist,Data Architecture,165000,United States,Mid,Full-time,Remote,"Austin, TX",Medium
